,,,,7,W,W,W,B,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
274,6,X/H/Y/CNOT/SWAP/Z,All white,7,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,B,B,W,W,,
,,,,4,B,B,-,-,W,+,-,B,,
,,,,5,W,W,+,W,+,-,-,W,,
,,,,6,W,W,W,W,W,B,B,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
275,6,X/H/Y/CNOT/SWAP/Z,All white,8,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,B,W,W,W,,
,,,,2,W,W,B,W,B,W,W,W,,
,,,,3,W,W,-,+,B,W,W,W,,
,,,,4,B,B,+,+,W,B,B,B,,
,,,,5,W,B,B,W,B,W,W,W,,
,,,,6,+,+,-,+,+,+,+,+,,
,,,,7,W,W,B,W,B,W,W,W,,
,,,,8,W,W,B,W,B,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
276,6,X/H/Y/CNOT/SWAP/Z,All white,8,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,+,W,W,W,W,,
,,,,2,W,W,B,+,W,W,W,W,,
,,,,3,W,W,B,+,W,W,W,W,,
,,,,4,W,W,B,+,W,W,W,W,,
,,,,5,W,W,B,+,W,W,W,W,,
,,,,6,-,-,+,-,-,-,-,-,,
,,,,7,W,W,-,+,B,B,W,W,,
,,,,8,W,W,B,+,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
277,6,X/H/Y/CNOT/SWAP/Z,All white,7,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,+,W,W,,
,,,,2,W,W,W,W,W,+,W,W,,
,,,,3,W,W,W,W,W,+,W,W,,
,,,,4,W,W,W,W,+,B,B,W,,
,,,,5,B,B,B,B,W,+,+,B,,
,,,,6,W,W,W,-,W,W,+,W,,
,,,,7,W,W,W,W,W,+,W,W,,
,,,,8,W,W,W,W,W,+,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
278,6,X/H/Y/CNOT/SWAP/Z,All white,10,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,B,W,W,,
,,,,3,B,B,B,B,+,+,W,B,,
,,,,4,W,W,B,B,-,-,B,W,,
,,,,5,W,W,W,W,W,W,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
279,6,X/H/Y/CNOT/SWAP/Z,All white,8,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,B,B,B,-,B,+,B,B,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,-,+,W,W,W,,
,,,,6,B,B,B,B,B,B,B,B,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
280,6,X/H/Y/CNOT/SWAP/Z,All white,8,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,+,W,+,W,W,W,,
,,,,2,W,W,+,W,+,W,W,W,,
,,,,3,W,W,W,-,-,W,W,W,,
,,,,4,W,W,W,W,-,W,W,W,,
,,,,5,W,W,W,W,+,W,W,W,,
,,,,6,W,W,W,+,+,W,W,W,,
,,,,7,W,W,+,W,+,W,W,W,,
,,,,8,W,W,+,W,+,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
281,6,X/H/Y/CNOT/SWAP/Z,All white,8,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,+,B,W,W,,
,,,,2,W,W,W,W,+,B,W,W,,
,,,,3,W,W,W,W,+,B,W,W,,
,,,,4,W,W,W,W,+,+,+,W,,
,,,,5,B,B,B,+,-,-,-,B,,
,,,,6,B,B,B,B,W,W,B,B,,
,,,,7,W,W,W,W,+,B,W,W,,
,,,,8,W,W,W,W,+,B,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
282,6,X/H/Y/CNOT/SWAP/Z,All white,8,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,+,W,W,W,,
,,,,2,W,W,W,W,+,W,W,W,,
,,,,3,+,+,+,-,-,W,+,+,,
,,,,4,W,W,W,B,+,B,W,W,,
,,,,5,W,W,B,W,+,W,W,W,,
,,,,6,W,W,W,W,+,W,W,W,,
,,,,7,W,W,W,W,+,W,W,W,,
,,,,8,W,W,W,W,+,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
283,6,X/H/Y/SWAP/Z/CNOT,All white,7,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,B,B,W,W,W,W,B,B,,
,,,,4,W,W,W,W,W,B,W,W,,
,,,,5,B,B,W,W,W,B,B,B,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
284,6,X/H/Y/SWAP/Z/CNOT,All white,7,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,B,W,+,W,W,,
,,,,2,W,W,W,B,W,+,W,W,,
,,,,3,W,W,W,B,W,+,W,W,,
,,,,4,W,W,W,B,W,+,W,W,,
,,,,5,W,W,W,B,W,+,B,W,,
,,,,6,B,B,B,W,-,W,B,B,,
,,,,7,W,W,W,B,B,-,W,W,,
,,,,8,W,W,W,B,W,+,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
285,6,X/H/Y/SWAP/Z/CNOT,All white,9,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,W,W,W,+,W,W,W,W,,
,,,,4,W,W,W,B,+,W,W,W,,
,,,,5,W,W,-,+,-,W,W,W,,
,,,,6,W,W,+,B,W,W,W,W,,
,,,,7,W,W,B,+,W,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
286,6,X/H/Y/SWAP/Z/CNOT,All white,9,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,+,W,W,,
,,,,2,W,W,W,W,W,+,W,W,,
,,,,3,W,W,W,W,W,-,B,W,,
,,,,4,W,W,W,W,B,+,-,W,,
,,,,5,W,W,W,W,-,-,W,W,,
,,,,6,W,W,W,W,W,W,+,W,,
,,,,7,W,W,W,W,W,+,W,W,,
,,,,8,W,W,W,W,W,+,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
287,6,X/H/Y/SWAP/Z/CNOT,All white,9,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,+,W,W,+,W,,
,,,,4,W,W,W,-,W,W,+,W,,
,,,,5,B,B,B,B,+,-,B,B,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
288,6,X/H/Y/SWAP/Z/CNOT,All white,9,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,B,W,W,,
,,,,4,W,W,W,W,W,B,W,W,,
,,,,5,W,W,W,+,W,+,W,W,,
,,,,6,W,W,W,W,W,W,B,W,,
,,,,7,W,W,W,W,W,W,B,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
289,7,X/H/Y/SWAP/Z/CNOT,All white,9,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,+,W,W,W,W,W,,
,,,,2,W,W,+,W,W,W,W,W,,
,,,,3,W,W,W,-,B,W,B,W,,
,,,,4,B,B,W,-,W,W,B,B,,
,,,,5,W,W,-,B,W,W,W,W,,
,,,,6,W,W,-,B,W,W,W,W,,
,,,,7,W,W,+,W,W,W,W,W,,
,,,,8,W,W,+,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
290,7,X/H/Y/SWAP/Z/CNOT,All white,9,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,B,W,W,W,,
,,,,2,W,W,W,W,B,W,W,W,,
,,,,3,+,+,+,-,-,+,+,+,,
,,,,4,W,W,W,W,B,W,W,W,,
,,,,5,+,+,+,+,-,+,+,+,,
,,,,6,W,W,W,-,W,W,+,W,,
,,,,7,W,W,W,W,-,W,+,W,,
,,,,8,W,W,W,W,B,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
291,7,X/H/Y/SWAP/Z/CNOT,All white,8,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,-,W,W,W,W,,
,,,,2,W,W,W,-,W,W,W,W,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,+,+,-,B,B,+,+,+,,
,,,,5,W,W,B,-,W,W,W,W,,
,,,,6,W,W,B,-,W,W,W,W,,
,,,,7,W,W,W,-,W,W,W,W,,
,,,,8,W,W,W,-,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
292,6,X/H/Y/SWAP/Z/CNOT,All white,8,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,+,W,B,W,W,W,,
,,,,2,W,W,+,W,B,W,W,W,,
,,,,3,W,W,+,W,B,W,W,W,,
,,,,4,W,W,+,W,B,W,W,W,,
,,,,5,W,W,+,W,B,B,B,W,,
,,,,6,+,+,B,W,B,+,+,+,,
,,,,7,W,W,+,+,+,W,W,W,,
,,,,8,W,W,+,W,B,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
293,7,X/H/Y/SWAP/Z/CNOT,All white,9,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,W,W,W,W,W,,
,,,,6,-,-,-,+,-,B,+,-,,
,,,,7,W,W,W,+,-,-,B,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
294,6,X/H/Y/SWAP/Z/CNOT,All white,8,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,B,B,B,+,B,B,B,B,,
,,,,4,W,W,B,-,W,B,B,W,,
,,,,5,-,-,-,B,-,+,+,-,,
,,,,6,W,W,W,+,W,W,W,W,,
,,,,7,W,W,W,+,W,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
295,7,X/H/Y/SWAP/Z/CNOT,All white,9,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,B,W,W,W,W,,
,,,,2,W,W,B,W,W,W,W,W,,
,,,,3,W,B,B,B,W,W,W,W,,
,,,,4,+,+,+,-,+,-,-,+,,
,,,,5,W,W,B,B,W,B,B,W,,
,,,,6,W,W,W,B,W,W,W,W,,
,,,,7,W,W,B,W,W,W,W,W,,
,,,,8,W,W,B,B,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
296,7,X/H/Y/SWAP/Z/CNOT,All white,9,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,B,W,W,,
,,,,2,W,W,W,W,W,B,W,W,,
,,,,3,W,W,W,W,W,B,W,W,,
,,,,4,+,+,+,+,+,W,W,+,,
,,,,5,W,W,W,W,W,-,-,W,,
,,,,6,B,B,B,B,+,-,W,B,,
,,,,7,W,W,W,W,+,+,W,W,,
,,,,8,W,W,W,W,W,B,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
297,7,X/H/Y/SWAP/Z/CNOT,All white,8,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,+,B,W,W,W,,
,,,,2,W,W,B,+,B,W,W,W,,
,,,,3,W,W,B,+,B,W,W,W,,
,,,,4,W,W,B,+,B,W,W,W,,
,,,,5,W,W,W,+,B,W,W,W,,
,,,,6,B,B,W,B,+,B,B,B,,
,,,,7,W,W,W,B,-,W,W,W,,
,,,,8,W,W,B,+,B,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
298,7,X/H/Y/SWAP/Z/CNOT,All white,9,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,W,W,W,+,W,W,W,W,,
,,,,4,W,W,W,-,+,+,W,W,,
,,,,5,W,W,B,-,W,B,W,W,,
,,,,6,W,W,B,+,-,+,W,W,,
,,,,7,W,W,W,-,B,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
299,7,X/H/Y/SWAP/Z/CNOT,All white,9,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,W,W,W,+,W,W,W,W,,
,,,,4,B,B,+,W,B,B,B,B,,
,,,,5,B,B,-,+,-,B,B,B,,
,,,,6,W,W,W,+,W,W,W,W,,
,,,,7,W,W,W,W,+,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
300,8,X/H/Y/SWAP/Z/CNOT,All white,10,,,,,,,,,,Final
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,B,B,B,B,W,W,,
,,,,4,W,W,B,W,-,B,W,W,,
,,,,5,W,W,B,+,B,B,W,W,,
,,,,6,W,W,B,B,B,B,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
