,1 bit gate,2 bit gate,,,pieces,,,,,,,,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
278,6,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,B,W,W,,
,,,,3,B,B,B,B,+,+,W,B,,
,,,,4,W,W,B,B,-,-,B,W,,
,,,,5,W,W,W,W,W,W,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
279,6,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,B,B,B,-,B,+,B,B,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,-,+,W,W,W,,
,,,,6,B,B,B,B,B,B,B,B,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
280,6,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,+,W,+,W,W,W,,
,,,,2,W,W,+,W,+,W,W,W,,
,,,,3,W,W,W,-,-,W,W,W,,
,,,,4,W,W,W,W,-,W,W,W,,
,,,,5,W,W,W,W,+,W,W,W,,
,,,,6,W,W,W,+,+,W,W,W,,
,,,,7,W,W,+,W,+,W,W,W,,
,,,,8,W,W,+,W,+,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
281,6,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,+,B,W,W,,
,,,,2,W,W,W,W,+,B,W,W,,
,,,,3,W,W,W,W,+,B,W,W,,
,,,,4,W,W,W,W,+,+,+,W,,
,,,,5,B,B,B,+,-,-,-,B,,
,,,,6,B,B,B,B,W,W,B,B,,
,,,,7,W,W,W,W,+,B,W,W,,
,,,,8,W,W,W,W,+,B,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
282,6,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,+,W,W,W,,
,,,,2,W,W,W,W,+,W,W,W,,
,,,,3,+,+,+,-,-,W,+,+,,
,,,,4,W,W,W,B,+,B,W,W,,
,,,,5,W,W,B,W,+,W,W,W,,
,,,,6,W,W,W,W,+,W,W,W,,
,,,,7,W,W,W,W,+,W,W,W,,
,,,,8,W,W,W,W,+,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
283,6,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,B,B,W,W,W,W,B,B,,
,,,,4,W,W,W,W,W,B,W,W,,
,,,,5,B,B,W,W,W,B,B,B,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
284,6,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,B,W,+,W,W,,
,,,,2,W,W,W,B,W,+,W,W,,
,,,,3,W,W,W,B,W,+,W,W,,
,,,,4,W,W,W,B,W,+,W,W,,
,,,,5,W,W,W,B,W,+,B,W,,
,,,,6,B,B,B,W,-,W,B,B,,
,,,,7,W,W,W,B,B,-,W,W,,
,,,,8,W,W,W,B,W,+,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
285,6,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,W,W,W,+,W,W,W,W,,
,,,,4,W,W,W,B,+,W,W,W,,
,,,,5,W,W,-,+,-,W,W,W,,
,,,,6,W,W,+,B,W,W,W,W,,
,,,,7,W,W,B,+,W,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
286,6,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,+,W,W,,
,,,,2,W,W,W,W,W,+,W,W,,
,,,,3,W,W,W,W,W,-,B,W,,
,,,,4,W,W,W,W,B,+,-,W,,
,,,,5,W,W,W,W,-,-,W,W,,
,,,,6,W,W,W,W,W,W,+,W,,
,,,,7,W,W,W,W,W,+,W,W,,
,,,,8,W,W,W,W,W,+,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
287,6,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,+,W,W,+,W,,
,,,,4,W,W,W,-,W,W,+,W,,
,,,,5,B,B,B,B,+,-,B,B,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
288,6,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,B,W,W,,
,,,,4,W,W,W,W,W,B,W,W,,
,,,,5,W,W,W,+,W,+,W,W,,
,,,,6,W,W,W,W,W,W,B,W,,
,,,,7,W,W,W,W,W,W,B,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
289,7,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,+,W,W,W,W,W,,
,,,,2,W,W,+,W,W,W,W,W,,
,,,,3,W,W,W,-,B,W,B,W,,
,,,,4,B,B,W,-,W,W,B,B,,
,,,,5,W,W,-,B,W,W,W,W,,
,,,,6,W,W,-,B,W,W,W,W,,
,,,,7,W,W,+,W,W,W,W,W,,
,,,,8,W,W,+,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
290,7,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,B,W,W,W,,
,,,,2,W,W,W,W,B,W,W,W,,
,,,,3,+,+,+,-,-,+,+,+,,
,,,,4,W,W,W,W,B,W,W,W,,
,,,,5,+,+,+,+,-,+,+,+,,
,,,,6,W,W,W,-,W,W,+,W,,
,,,,7,W,W,W,W,-,W,+,W,,
,,,,8,W,W,W,W,B,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
291,7,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,-,W,W,W,W,,
,,,,2,W,W,W,-,W,W,W,W,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,+,+,-,B,B,+,+,+,,
,,,,5,W,W,B,-,W,W,W,W,,
,,,,6,W,W,B,-,W,W,W,W,,
,,,,7,W,W,W,-,W,W,W,W,,
,,,,8,W,W,W,-,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
292,7,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,+,W,B,W,W,W,,
,,,,2,W,W,+,W,B,W,W,W,,
,,,,3,W,W,+,W,B,W,W,W,,
,,,,4,W,W,+,W,B,W,W,W,,
,,,,5,W,W,+,W,B,B,B,W,,
,,,,6,+,+,B,W,B,+,+,+,,
,,,,7,W,W,+,+,+,W,W,W,,
,,,,8,W,W,+,W,B,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
293,7,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,W,W,W,W,W,,
,,,,6,-,-,-,+,-,B,+,-,,
,,,,7,W,W,W,+,-,-,B,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
294,7,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,B,B,B,+,B,B,B,B,,
,,,,4,W,W,B,-,W,B,B,W,,
,,,,5,-,-,-,B,-,+,+,-,,
,,,,6,W,W,W,+,W,W,W,W,,
,,,,7,W,W,W,+,W,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
295,7,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,B,W,W,W,W,,
,,,,2,W,W,B,W,W,W,W,W,,
,,,,3,W,B,B,B,W,W,W,W,,
,,,,4,+,+,+,-,+,-,-,+,,
,,,,5,W,W,B,B,W,B,B,W,,
,,,,6,W,W,W,B,W,W,W,W,,
,,,,7,W,W,B,W,W,W,W,W,,
,,,,8,W,W,B,B,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
296,7,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,B,W,W,,
,,,,2,W,W,W,W,W,B,W,W,,
,,,,3,W,W,W,W,W,B,W,W,,
,,,,4,+,+,+,+,+,W,W,+,,
,,,,5,W,W,W,W,W,-,-,W,,
,,,,6,B,B,B,B,+,-,W,B,,
,,,,7,W,W,W,W,+,+,W,W,,
,,,,8,W,W,W,W,W,B,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
297,7,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,+,B,W,W,W,,
,,,,2,W,W,B,+,B,W,W,W,,
,,,,3,W,W,B,+,B,W,W,W,,
,,,,4,W,W,B,+,B,W,W,W,,
,,,,5,W,W,W,+,B,W,W,W,,
,,,,6,B,B,W,B,+,B,B,B,,
,,,,7,W,W,W,B,-,W,W,W,,
,,,,8,W,W,B,+,B,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
298,7,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,W,W,W,+,W,W,W,W,,
,,,,4,W,W,W,-,+,+,W,W,,
,,,,5,W,W,B,-,W,B,W,W,,
,,,,6,W,W,B,+,-,+,W,W,,
,,,,7,W,W,W,-,B,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
299,7,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,W,W,W,+,W,W,W,W,,
,,,,4,B,B,+,W,B,B,B,B,,
,,,,5,B,B,-,+,-,B,B,B,,
,,,,6,W,W,W,+,W,W,W,W,,
,,,,7,W,W,W,W,+,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
300,8,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,Final
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,B,B,B,B,W,W,,
,,,,4,W,W,B,W,-,B,W,W,,
,,,,5,W,W,B,+,B,B,W,W,,
,,,,6,W,W,B,B,B,B,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
